Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,9.464,6.86,1.568,3.752,1.232,2.912,2.016,2.128,1.596,2.94
Driver_2,1.54,1.456,1.596,1.092,5.376,1.708,3.024,1.484,4.508,1.064
Driver_3,5.656,4.088,1.54,2.38,1.428,4.732,2.324,2.828,1.876,2.044
Driver_4,4.284,6.076,2.044,5.712,1.176,1.624,1.932,1.316,1.512,7.0
Driver_5,28.336,29.008,1.932,3.948,1.344,2.38,2.38,1.792,1.792,3.36
Driver_6,12.18,6.804,1.68,3.108,1.344,3.22,2.324,2.24,1.792,2.576
Driver_7,2.268,1.96,1.12,1.568,1.26,14.812,1.624,11.732,1.456,1.372
Driver_8,3.052,3.808,2.408,3.528,1.176,1.4,1.932,1.176,1.512,4.648
Driver_9,4.284,3.64,1.316,3.024,1.12,3.444,1.68,2.548,1.4,2.352
Driver_10,3.752,3.948,3.724,2.184,1.792,1.764,4.508,1.4,2.744,2.24
Driver_11,3.5,2.856,1.624,1.792,1.792,4.648,2.968,2.828,2.408,1.624
Driver_12,2.268,2.016,1.708,1.372,2.66,2.744,3.724,2.128,3.668,1.316
Driver_13,2.436,2.156,1.82,1.428,2.688,2.632,4.396,2.016,4.06,1.372
Driver_14,5.32,7.924,1.82,8.148,1.148,1.792,1.876,1.456,1.484,7.0
Driver_15,1.316,1.316,3.444,1.064,2.296,1.036,2.38,0.896,2.548,1.092
Driver_16,2.128,1.988,1.008,2.016,0.924,2.716,1.232,2.632,1.092,1.68
Driver_17,1.512,1.4,1.484,1.064,4.34,1.764,2.66,1.54,3.668,1.036
Driver_18,1.988,1.764,1.288,1.316,1.848,4.06,2.184,3.276,2.156,1.204
Driver_19,1.484,1.4,1.624,1.064,6.916,1.596,2.968,1.4,4.704,1.036
Driver_20,5.488,4.2,1.428,2.828,1.26,4.004,1.932,2.688,1.568,2.296
Driver_21,1.484,1.512,5.096,1.176,2.296,1.12,2.856,0.952,2.856,1.232
Driver_22,3.836,5.068,2.548,3.612,1.26,1.54,2.212,1.26,1.68,4.284
Driver_23,3.976,3.444,1.288,2.996,1.12,3.332,1.624,2.548,1.372,2.324
