Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,2.352,3.752,1.176,1.176,1.12,0.98,1.736,2.212,1.792,1.792
Driver_2,1.288,1.176,2.072,5.768,1.26,1.204,3.752,2.548,1.288,3.556
Driver_3,1.4,1.372,1.652,2.66,1.148,1.064,14.84,5.236,1.344,10.976
Driver_4,4.088,2.548,3.08,2.1,2.576,2.016,2.044,2.184,4.536,2.156
Driver_5,1.624,1.316,8.988,4.592,2.268,2.24,1.932,1.708,1.792,1.932
Driver_6,3.276,2.128,4.088,2.184,3.304,2.492,1.848,1.876,4.172,1.904
Driver_7,5.488,2.688,2.268,1.484,3.304,2.268,1.428,1.512,19.404,1.456
Driver_8,3.08,3.864,1.148,0.952,1.372,1.176,1.092,1.232,2.52,1.12
Driver_9,4.06,4.284,1.288,1.036,1.596,1.316,1.148,1.288,3.248,1.176
Driver_10,2.744,1.848,1.932,1.232,4.228,2.8,1.12,1.176,4.116,1.148
Driver_11,1.708,1.372,16.52,3.78,2.548,2.492,1.848,1.68,1.96,1.876
Driver_12,1.484,1.204,7.672,3.584,2.324,2.464,1.652,1.484,1.652,1.652
Driver_13,2.212,1.736,5.18,3.64,2.296,2.016,2.492,2.296,2.408,2.576
Driver_14,1.764,2.296,1.12,1.204,1.008,0.896,2.044,2.772,1.456,2.1
Driver_15,1.596,1.456,2.296,4.508,1.4,1.288,6.244,3.78,1.568,6.16
Driver_16,1.792,1.904,1.456,1.792,1.148,1.036,4.788,12.768,1.568,5.208
Driver_17,1.708,1.484,3.22,6.552,1.652,1.54,3.584,2.8,1.736,3.64
Driver_18,3.416,2.324,3.472,2.324,2.548,2.016,2.184,2.268,3.752,2.296
Driver_19,4.48,2.548,3.052,1.904,3.052,2.24,1.792,1.876,6.104,1.848
Driver_20,3.248,2.296,1.512,1.092,2.352,1.82,1.064,1.148,4.088,1.092
Driver_21,1.932,1.68,2.8,4.06,1.624,1.484,4.452,3.612,1.904,4.676
Driver_22,3.136,2.604,2.38,2.24,1.792,1.512,3.052,3.528,2.772,3.248
Driver_23,1.54,1.344,2.828,8.736,1.512,1.428,3.696,2.688,1.568,3.668
Driver_24,1.148,1.036,2.128,6.272,1.26,1.26,2.268,1.764,1.176,2.212
Driver_25,2.324,1.652,7.364,2.324,4.312,3.388,1.652,1.596,2.94,1.68
Driver_26,1.484,1.68,1.232,1.484,1.008,0.924,3.332,5.068,1.316,3.416
Driver_27,1.792,1.344,2.688,1.428,12.964,12.096,1.12,1.092,2.352,1.12
Driver_28,2.128,1.54,6.048,2.072,5.964,4.592,1.456,1.428,2.744,1.484
Driver_29,1.624,1.708,1.456,1.848,1.12,1.008,6.048,15.092,1.456,6.44
Driver_30,3.64,7.672,1.204,1.036,1.344,1.148,1.26,1.484,2.576,1.316
Driver_31,3.444,4.592,1.204,1.008,1.4,1.176,1.148,1.288,2.66,1.176
Driver_32,3.388,2.716,1.344,1.036,1.876,1.512,1.064,1.148,3.528,1.092
Driver_33,5.012,2.576,2.66,1.652,3.416,2.38,1.568,1.652,10.248,1.624
Driver_34,1.568,1.232,4.312,1.848,4.704,7.196,1.232,1.176,1.932,1.26
Driver_35,3.976,3.136,2.24,1.96,1.848,1.54,2.548,3.024,3.276,2.716
Driver_36,2.156,1.596,11.256,2.744,3.444,2.94,1.792,1.708,2.604,1.82
Driver_37,3.276,6.496,1.344,1.26,1.288,1.12,1.764,2.24,2.324,1.848
Driver_38,1.988,2.828,1.148,1.176,1.064,0.924,1.848,2.464,1.596,1.932
Driver_39,1.456,1.204,5.74,5.096,2.016,2.044,1.848,1.596,1.596,1.848
Driver_40,1.848,1.372,4.984,1.904,6.748,6.776,1.316,1.288,2.352,1.344
Driver_41,2.688,3.556,1.428,1.456,1.288,1.12,2.352,3.332,2.072,2.492
Driver_42,1.876,2.1,1.456,1.68,1.176,1.036,3.948,8.232,1.624,4.228
Driver_43,1.428,1.428,1.484,2.156,1.092,1.008,10.976,7.168,1.316,9.744
Driver_44,2.24,2.996,1.288,1.344,1.148,1.008,2.24,3.136,1.764,2.324
Driver_45,2.156,2.688,1.344,1.428,1.148,1.036,2.576,3.892,1.736,2.716
Driver_46,6.104,8.96,1.624,1.4,1.596,1.344,1.792,2.184,3.472,1.876
Driver_47,6.72,3.192,2.464,1.736,2.52,1.932,1.82,1.988,7.308,1.876
Driver_48,1.596,1.232,3.22,1.596,6.16,21.42,1.148,1.12,1.96,1.148
Driver_49,1.26,1.148,2.072,6.188,1.26,1.204,3.22,2.296,1.26,3.08
Driver_50,1.26,1.148,1.932,4.732,1.204,1.148,3.808,2.548,1.232,3.584
Driver_51,2.24,1.596,2.184,1.288,7.028,4.032,1.12,1.12,3.164,1.12
Driver_52,2.212,1.568,2.464,1.4,11.704,5.012,1.148,1.148,3.08,1.176
Driver_53,1.792,1.624,2.296,3.584,1.456,1.316,7.056,4.76,1.708,7.56
Driver_54,1.456,1.512,1.4,1.876,1.064,0.98,6.692,8.428,1.316,6.664
Driver_55,1.82,1.596,2.8,4.62,1.596,1.456,4.48,3.444,1.82,4.648
Driver_56,3.64,8.092,1.232,1.064,1.344,1.148,1.288,1.484,2.548,1.316
Driver_57,3.668,2.296,3.584,2.1,3.052,2.296,1.904,1.96,4.62,1.96
Driver_58,1.652,1.736,1.456,1.876,1.12,1.036,6.132,18.004,1.484,6.636
Driver_59,1.484,1.204,5.768,5.488,1.988,2.016,1.904,1.652,1.624,1.904
Driver_60,2.24,2.436,1.036,0.868,1.316,1.12,0.952,1.036,2.044,0.952
Driver_61,1.736,1.316,3.976,1.736,7.252,10.78,1.232,1.204,2.184,1.26
Driver_62,1.4,1.176,4.34,7.532,1.792,1.792,2.016,1.708,1.512,2.016
Driver_63,2.212,2.884,1.316,1.372,1.148,1.008,2.352,3.388,1.764,2.464
Driver_64,1.204,1.092,2.016,5.74,1.204,1.204,2.94,2.128,1.204,2.8
Driver_65,2.1,1.82,2.8,3.528,1.68,1.512,4.2,3.724,2.044,4.48
Driver_66,1.26,1.12,2.52,11.9,1.372,1.372,2.464,1.904,1.288,2.408
Driver_67,3.556,2.184,3.64,1.96,3.724,2.632,1.708,1.736,5.068,1.764
Driver_68,2.968,2.604,1.26,0.98,1.708,1.4,1.008,1.12,2.968,1.036
Driver_69,1.624,1.428,3.052,7.56,1.596,1.512,3.64,2.744,1.652,3.668
Driver_70,6.412,2.884,2.352,1.54,3.052,2.184,1.512,1.624,22.064,1.568
Driver_71,3.5,2.1,2.828,1.596,5.04,3.024,1.4,1.456,6.244,1.456
