Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,1.624,1.512,3.668,1.96,1.96,1.96,2.408,1.764,1.568,2.1
Driver_2,1.428,1.456,1.4,6.44,2.464,3.612,1.232,4.956,3.64,3.612
Driver_3,1.512,1.372,1.96,1.092,1.092,1.092,1.652,1.036,0.952,1.316
Driver_4,1.064,1.036,5.18,2.128,3.276,2.548,4.256,2.044,1.932,1.512
Driver_5,1.12,1.092,2.268,4.536,12.572,8.092,1.988,4.508,4.06,1.904
Driver_6,2.044,2.184,1.204,2.464,1.568,1.904,1.036,2.156,1.848,7.672
Driver_7,1.568,1.428,2.324,1.232,1.232,1.204,1.848,1.148,1.064,1.456
Driver_8,2.24,2.24,1.624,2.828,1.876,2.24,1.316,2.352,1.96,10.976
Driver_9,0.784,0.784,2.548,1.316,1.876,1.512,3.612,1.316,1.316,0.98
Driver_10,12.544,24.276,1.12,1.344,1.064,1.176,0.952,1.232,1.092,2.688
Driver_11,1.456,1.4,3.752,2.52,2.604,2.576,2.52,2.24,1.96,2.24
Driver_12,1.652,1.68,1.708,5.096,2.548,3.444,1.428,3.724,2.828,5.012
Driver_13,2.828,2.52,1.848,1.652,1.428,1.54,1.456,1.484,1.316,2.744
Driver_14,1.456,1.512,1.26,4.34,2.072,2.856,1.12,3.724,2.996,3.724
Driver_15,2.436,2.436,1.568,2.576,1.764,2.1,1.288,2.184,1.82,11.228
Driver_16,1.652,1.54,2.912,1.456,1.456,1.456,2.128,1.344,1.232,1.736
Driver_17,2.156,2.044,2.212,2.24,1.848,2.016,1.68,1.932,1.68,3.416
Driver_18,1.596,1.54,2.38,3.752,2.884,3.388,1.848,3.024,2.464,3.22
Driver_19,2.716,2.492,1.876,1.848,1.54,1.68,1.484,1.624,1.428,3.248
Driver_20,0.952,0.896,5.908,1.428,1.932,1.624,25.2,1.4,1.344,1.176
Driver_21,3.108,2.716,1.736,1.596,1.372,1.456,1.4,1.428,1.26,2.66
Driver_22,1.092,1.064,3.556,2.66,4.816,3.444,2.968,2.576,2.408,1.652
Driver_23,1.624,1.484,1.82,1.092,1.092,1.092,1.54,1.036,0.952,1.344
Driver_24,1.064,1.064,1.148,3.836,2.324,3.164,1.064,4.508,4.816,1.904
Driver_25,1.176,1.148,4.34,2.576,3.724,3.052,3.192,2.408,2.184,1.764
Driver_26,2.436,2.66,1.176,2.1,1.428,1.68,1.008,1.848,1.624,7.336
Driver_27,1.064,1.064,2.828,3.108,7.42,4.424,2.464,3.08,2.912,1.68
Driver_28,2.548,2.492,1.652,2.408,1.736,2.016,1.344,2.044,1.736,7.308
Driver_29,1.064,1.008,5.152,1.26,1.456,1.344,4.816,1.204,1.148,1.176
Driver_30,1.652,1.512,2.156,1.204,1.204,1.204,1.736,1.12,1.036,1.456
Driver_31,4.2,3.808,1.484,1.736,1.372,1.512,1.232,1.54,1.344,3.976
Driver_32,11.032,10.668,1.176,1.4,1.12,1.26,1.008,1.288,1.148,2.968
Driver_33,2.156,1.904,1.624,1.148,1.092,1.12,1.344,1.064,0.98,1.568
Driver_34,4.676,3.556,1.316,1.232,1.064,1.148,1.12,1.12,1.036,2.016
Driver_35,1.008,0.98,2.744,2.632,6.468,3.668,2.576,2.688,2.66,1.484
Driver_36,5.432,5.348,1.316,1.624,1.26,1.428,1.092,1.456,1.288,4.032
Driver_37,0.896,0.868,4.312,1.372,1.876,1.568,9.94,1.344,1.316,1.092
Driver_38,1.316,1.204,1.764,0.98,1.008,0.98,1.568,0.924,0.868,1.148
Driver_39,1.204,1.204,1.82,13.02,5.684,17.836,1.568,10.78,6.412,2.324
Driver_40,2.296,1.988,1.54,1.148,1.064,1.092,1.288,1.064,0.98,1.568
Driver_41,4.032,3.164,1.372,1.232,1.092,1.148,1.148,1.12,1.036,1.96
Driver_42,1.456,1.372,4.984,1.904,2.044,1.96,2.912,1.736,1.568,1.876
Driver_43,1.708,1.54,2.632,1.4,1.372,1.372,1.988,1.288,1.176,1.68
Driver_44,0.98,0.98,2.94,2.408,5.208,3.22,2.828,2.436,2.408,1.456
Driver_45,1.064,1.064,1.456,7.0,4.34,7.784,1.316,14.196,53.116,1.932
Driver_46,2.212,2.128,1.932,2.548,1.904,2.184,1.54,2.156,1.82,4.76
