Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,1.008,1.064,1.26,1.456,0.924,4.088,1.176,3.024,1.736,2.856
Driver_2,2.156,7.728,1.428,3.444,1.848,1.036,6.132,1.736,1.036,1.4
Driver_3,2.24,2.296,2.576,2.296,1.792,1.372,2.016,2.66,1.904,1.764
Driver_4,1.372,1.064,2.772,1.008,1.232,1.064,0.924,1.232,7.588,1.036
Driver_5,1.092,0.896,1.82,0.896,1.008,1.064,0.812,1.12,5.264,0.98
Driver_6,1.54,1.204,3.248,1.176,1.344,1.204,1.092,1.512,8.652,1.232
Driver_7,1.764,2.716,1.568,5.712,1.484,1.456,3.64,3.472,1.316,2.24
Driver_8,2.548,11.172,1.596,3.08,2.1,1.036,4.368,1.764,1.12,1.372
Driver_9,5.544,1.932,4.284,1.26,4.648,0.84,1.316,1.176,1.54,0.98
Driver_10,1.204,1.232,1.596,1.596,1.064,2.464,1.316,3.276,2.268,2.436
Driver_11,4.9,2.828,3.612,1.764,3.136,1.036,1.792,1.624,1.652,1.232
Driver_12,1.372,1.484,1.652,2.128,1.176,2.268,1.624,5.46,1.904,2.94
Driver_13,7.476,2.072,3.108,1.232,7.644,0.812,1.344,1.12,1.344,0.924
Driver_14,1.176,1.232,1.512,1.68,1.036,2.744,1.344,3.724,2.044,2.744
Driver_15,1.82,1.344,5.292,1.204,1.596,1.092,1.12,1.456,4.368,1.148
Driver_16,1.708,1.204,4.76,1.064,1.54,1.008,1.008,1.26,4.004,1.036
Driver_17,4.368,1.764,2.408,1.092,6.608,0.728,1.176,0.98,1.204,0.84
Driver_18,1.232,1.176,1.736,1.4,1.092,2.016,1.176,2.38,3.024,1.876
Driver_19,7.56,2.212,2.38,1.232,23.912,0.784,1.344,1.064,1.204,0.896
Driver_20,3.612,13.048,1.708,2.1,2.94,0.924,2.716,1.428,1.092,1.176
Driver_21,1.596,1.316,3.108,1.316,1.372,1.344,1.204,1.792,5.376,1.4
Driver_22,1.512,2.52,1.316,23.24,1.316,1.428,5.124,3.08,1.12,2.296
Driver_23,6.244,1.96,3.472,1.232,5.908,0.812,1.288,1.148,1.428,0.924
Driver_24,2.464,16.8,1.484,2.772,2.1,0.98,4.256,1.596,1.036,1.288
Driver_25,1.232,1.316,1.512,1.876,1.092,2.716,1.456,4.9,1.876,3.136
Driver_26,1.4,1.148,2.66,1.148,1.232,1.26,1.036,1.512,16.324,1.232
Driver_27,2.296,2.296,2.632,2.268,1.82,1.372,1.988,2.576,1.904,1.736
Driver_28,1.792,2.548,1.652,4.592,1.484,1.512,3.136,3.78,1.4,2.296
Driver_29,8.008,4.452,2.212,1.736,4.788,0.896,2.016,1.372,1.232,1.092
Driver_30,1.036,1.204,1.12,1.988,0.924,4.48,1.484,5.516,1.288,10.332
Driver_31,1.148,1.036,1.736,1.176,1.008,1.68,1.008,1.764,4.256,1.484
Driver_32,3.024,1.96,6.58,1.54,2.324,1.092,1.484,1.652,2.24,1.26
