Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,1.736,2.352,2.884,4.2,2.24,1.624,1.4,3.416,8.512,32.368
Driver_2,2.996,1.792,1.792,1.512,1.82,2.884,4.284,1.456,1.96,1.652
Driver_3,1.456,2.212,2.296,4.396,2.1,1.372,1.204,3.612,4.536,7.924
Driver_4,1.624,3.976,2.1,9.352,3.696,1.512,1.4,6.608,6.916,6.832
Driver_5,1.316,2.884,1.792,9.1,2.688,1.232,1.148,6.916,3.724,4.928
Driver_6,1.26,6.608,1.484,8.064,5.74,1.204,1.176,13.384,2.94,2.996
Driver_7,1.54,1.148,3.108,1.456,1.12,1.484,1.176,1.372,1.932,2.1
Driver_8,3.472,1.316,10.444,1.512,1.288,3.164,2.016,1.4,2.408,2.212
Driver_9,2.128,1.092,4.312,1.288,1.092,2.044,1.484,1.204,1.82,1.82
Driver_10,4.032,1.568,1.932,1.4,1.568,3.948,7.588,1.344,1.876,1.596
Driver_11,3.108,1.232,1.54,1.12,1.232,3.332,8.792,1.092,1.428,1.26
Driver_12,1.82,5.04,1.792,3.108,5.152,1.708,1.764,3.052,3.416,2.744
Driver_13,1.736,1.232,4.088,1.596,1.204,1.652,1.288,1.456,2.24,2.38
Driver_14,3.024,2.016,5.152,2.408,1.96,2.66,2.072,2.156,5.796,4.172
Driver_15,3.192,1.232,1.568,1.12,1.232,3.416,9.352,1.092,1.428,1.26
Driver_16,2.968,1.708,10.22,2.1,1.68,2.632,1.932,1.904,4.228,3.64
Driver_17,3.136,1.12,4.368,1.26,1.12,3.024,1.932,1.176,1.82,1.708
Driver_18,2.268,2.856,1.848,2.156,2.912,2.128,2.38,2.1,2.744,2.212
Driver_19,2.436,1.372,1.428,1.176,1.372,2.464,4.508,1.148,1.428,1.26
Driver_20,4.424,1.596,7.756,1.792,1.568,3.752,2.436,1.652,3.22,2.716
Driver_21,1.624,1.176,3.388,1.484,1.148,1.54,1.204,1.372,1.988,2.128
Driver_22,1.596,3.836,1.428,2.156,4.144,1.512,1.68,2.212,2.184,1.876
Driver_23,3.108,1.12,4.312,1.26,1.092,2.996,1.904,1.176,1.792,1.708
Driver_24,1.568,3.5,2.128,10.444,3.248,1.456,1.344,6.72,6.552,8.036
Driver_25,1.484,3.248,1.316,1.932,3.5,1.428,1.624,1.988,1.904,1.68
Driver_26,1.736,1.092,3.528,1.344,1.092,1.652,1.26,1.26,1.848,1.904
Driver_27,1.988,3.052,1.652,2.1,3.192,1.876,2.128,2.072,2.436,2.016
Driver_28,6.188,1.232,2.016,1.176,1.232,7.812,10.724,1.12,1.596,1.4
Driver_29,8.372,1.204,3.22,1.26,1.204,8.708,3.304,1.204,1.82,1.652
Driver_30,1.96,1.988,1.428,1.512,2.044,1.904,2.52,1.484,1.764,1.512
