Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,1.82,2.716,2.66,1.596,4.508,3.444,3.136,1.904,1.596,5.18
Driver_2,1.456,2.352,1.736,1.904,10.752,1.904,1.764,3.528,2.016,8.904
Driver_3,1.96,2.548,3.22,1.456,2.94,4.844,4.396,1.54,1.428,3.136
Driver_4,2.688,6.02,2.324,6.3,2.632,2.1,1.988,1.428,5.068,2.016
Driver_5,1.512,1.904,1.288,4.984,1.512,1.204,1.176,1.148,5.012,1.288
Driver_6,1.932,3.612,1.848,6.272,3.052,1.764,1.68,1.708,7.476,2.268
Driver_7,15.176,4.564,6.3,2.072,1.904,3.808,3.696,1.092,1.876,1.652
Driver_8,8.204,5.236,3.724,2.632,1.904,2.772,2.66,1.12,2.268,1.596
Driver_9,3.332,2.996,10.892,1.512,2.044,19.096,39.452,1.176,1.456,1.932
Driver_10,1.12,1.428,1.372,1.12,2.408,1.596,1.54,2.464,1.148,3.332
Driver_11,1.26,1.848,1.512,1.54,4.984,1.68,1.596,4.9,1.624,7.812
Driver_12,5.348,8.428,6.524,2.324,2.464,4.648,4.2,1.288,2.128,2.072
Driver_13,3.416,4.004,2.296,4.256,1.82,1.932,1.876,1.12,3.304,1.512
Driver_14,1.484,2.184,1.904,1.54,5.88,2.212,2.072,2.744,1.596,15.82
Driver_15,1.792,3.388,2.1,2.408,15.736,2.24,2.072,2.436,2.52,5.544
Driver_16,1.54,1.764,1.26,3.556,1.316,1.148,1.12,1.008,3.22,1.148
Driver_17,40.32,3.92,5.348,1.988,1.764,3.388,3.36,1.064,1.792,1.54
Driver_18,2.688,6.832,2.436,5.516,2.828,2.212,2.072,1.456,4.676,2.128
Driver_19,0.952,1.288,0.98,1.54,1.82,1.008,0.98,2.828,1.708,1.736
Driver_20,2.8,4.144,5.432,1.792,3.108,8.316,6.384,1.456,1.736,2.828
Driver_21,3.444,3.976,10.248,1.736,2.464,17.948,11.368,1.288,1.652,2.268
Driver_22,1.568,2.492,1.484,5.264,2.492,1.456,1.4,1.736,8.064,1.96
Driver_23,1.876,2.576,1.568,13.076,1.792,1.428,1.372,1.232,8.736,1.484
Driver_24,2.156,4.9,2.156,4.76,3.668,2.072,1.932,1.736,4.844,2.576
Driver_25,2.24,3.304,1.82,14.336,1.96,1.652,1.568,1.26,7.14,1.596
Driver_26,1.26,1.764,1.204,3.304,1.82,1.176,1.12,1.568,4.256,1.54
Driver_27,0.98,1.316,1.008,1.54,1.904,1.036,1.008,2.968,1.736,1.792
Driver_28,3.332,3.556,10.556,1.652,2.324,38.36,17.584,1.26,1.568,2.156
Driver_29,1.708,2.156,2.604,1.344,2.772,3.612,3.416,1.596,1.316,3.192
Driver_30,2.212,2.52,1.652,4.844,1.54,1.484,1.428,1.064,3.696,1.316
Driver_31,1.232,1.736,1.204,2.884,2.016,1.176,1.148,1.82,3.612,1.708
Driver_32,1.092,1.512,1.26,1.344,3.052,1.4,1.316,9.212,1.428,3.92
Driver_33,1.064,1.428,1.036,2.044,1.736,1.036,1.008,1.876,2.38,1.54
Driver_34,1.148,1.652,1.176,2.268,2.184,1.176,1.12,2.268,2.716,1.904
Driver_35,1.624,2.1,1.372,6.328,1.596,1.288,1.232,1.176,6.02,1.344
Driver_36,1.54,2.576,1.848,1.988,17.5,2.016,1.876,3.136,2.1,9.212
Driver_37,1.064,1.484,1.204,1.4,2.856,1.288,1.232,34.776,1.512,3.22
Driver_38,1.428,2.268,1.652,1.876,8.792,1.82,1.708,3.808,1.988,8.092
Driver_39,2.212,2.716,1.708,6.3,1.652,1.512,1.456,1.12,4.48,1.372
Driver_40,1.792,2.548,2.66,1.512,3.864,3.556,3.248,1.82,1.512,4.508
Driver_41,1.96,3.472,2.66,1.932,7.952,3.136,2.828,2.072,1.96,6.216
Driver_42,1.344,1.82,1.232,4.06,1.68,1.176,1.12,1.372,5.18,1.428
Driver_43,5.628,3.864,30.492,1.764,1.988,7.0,6.944,1.148,1.624,1.792
Driver_44,2.044,2.492,1.596,5.936,1.596,1.428,1.4,1.092,4.424,1.344
Driver_45,2.352,6.188,2.408,4.06,3.976,2.324,2.156,1.736,3.976,2.716
Driver_46,1.456,2.072,1.876,1.456,4.872,2.24,2.1,2.604,1.512,10.024
Driver_47,8.988,6.188,5.628,2.324,2.072,3.724,3.528,1.176,2.072,1.792
Driver_48,4.648,2.828,10.164,1.512,1.708,5.768,6.524,1.036,1.428,1.596
Driver_49,0.924,1.232,0.98,1.428,1.764,1.008,0.952,2.94,1.596,1.708
Driver_50,3.584,11.62,3.024,3.976,2.576,2.576,2.408,1.344,3.36,2.016
Driver_51,0.98,1.232,1.204,1.008,1.904,1.372,1.344,2.212,1.008,2.436
Driver_52,1.456,2.38,1.652,2.072,7.98,1.764,1.652,3.5,2.268,5.6
Driver_53,4.872,5.124,2.884,3.332,1.904,2.324,2.24,1.148,2.744,1.596
Driver_54,2.1,3.5,1.82,24.052,2.268,1.68,1.596,1.4,11.62,1.792
Driver_55,1.204,1.764,1.232,2.38,2.408,1.232,1.176,2.408,2.828,2.044
Driver_56,2.352,2.408,4.62,1.372,2.072,8.68,9.436,1.232,1.316,2.1
Driver_57,0.98,1.316,1.008,1.764,1.708,1.008,0.98,2.044,2.016,1.54
Driver_58,1.4,2.268,1.54,2.24,5.404,1.624,1.54,3.416,2.464,4.032
Driver_59,3.472,13.468,4.396,2.548,3.304,4.088,3.612,1.484,2.38,2.576
Driver_60,0.924,1.232,0.98,1.4,1.848,1.008,0.98,3.472,1.54,1.82
Driver_61,1.568,2.576,1.54,4.116,2.996,1.54,1.456,1.988,5.404,2.296
Driver_62,1.764,3.332,1.82,4.004,4.004,1.792,1.708,2.016,4.648,2.744
Driver_63,1.204,1.708,1.204,2.436,2.268,1.204,1.148,2.24,2.912,1.932
Driver_64,2.464,2.436,5.068,1.344,1.988,9.436,11.508,1.204,1.316,1.988
Driver_65,1.4,2.212,1.512,2.212,5.068,1.596,1.512,3.444,2.464,3.864
Driver_66,6.972,5.348,9.828,2.044,2.156,5.18,4.872,1.176,1.876,1.876
Driver_67,1.036,1.456,1.148,1.428,2.66,1.232,1.176,16.968,1.54,2.884
Driver_68,3.304,2.128,4.788,1.288,1.456,3.976,4.564,0.952,1.232,1.4
Driver_69,0.98,1.344,1.036,1.596,1.988,1.064,1.036,3.22,1.764,1.904
Driver_70,1.708,3.136,1.792,3.248,4.984,1.82,1.708,2.268,3.668,3.22
Driver_71,1.764,1.932,1.372,3.5,1.316,1.232,1.204,0.98,2.996,1.148
Driver_72,2.016,2.744,1.652,11.368,1.792,1.484,1.428,1.204,6.86,1.484
Driver_73,1.372,2.156,1.456,2.352,4.116,1.512,1.428,3.164,2.688,3.22
Driver_74,1.456,1.96,1.288,5.348,1.68,1.232,1.176,1.288,6.524,1.4
Driver_75,1.96,4.088,2.184,2.912,7.308,2.268,2.1,2.156,3.052,3.948
Driver_76,5.04,11.172,3.836,3.052,2.352,3.024,2.828,1.26,2.66,1.904
Driver_77,2.436,3.22,4.592,1.596,2.94,8.232,6.636,1.456,1.568,2.828
Driver_78,1.26,1.708,1.176,3.36,1.68,1.12,1.092,1.428,4.2,1.428
Driver_79,2.324,2.352,4.564,1.344,2.016,8.204,9.24,1.204,1.288,2.044
Driver_80,0.924,1.204,0.952,1.456,1.68,0.98,0.924,2.52,1.624,1.596
Driver_81,1.008,1.372,1.148,1.288,2.492,1.232,1.176,26.32,1.372,2.884
Driver_82,0.924,1.204,0.952,1.428,1.708,0.98,0.952,2.66,1.596,1.624
Driver_83,1.344,2.016,1.316,3.248,2.408,1.316,1.26,1.988,4.172,1.96
Driver_84,1.064,1.484,1.064,2.072,1.876,1.092,1.036,2.072,2.408,1.68
Driver_85,1.26,1.876,1.316,2.128,3.304,1.372,1.316,3.472,2.408,2.8
Driver_86,1.372,2.128,1.596,1.792,7.168,1.736,1.652,4.228,1.932,7.504
Driver_87,2.464,3.22,1.876,6.692,1.792,1.652,1.596,1.148,4.564,1.484
Driver_88,1.596,1.904,1.316,4.312,1.4,1.204,1.176,1.064,3.864,1.204
Driver_89,1.428,2.016,1.316,5.124,1.792,1.26,1.204,1.4,7.112,1.512
Driver_90,3.164,6.58,5.04,2.156,3.416,5.432,4.564,1.512,2.044,2.828
Driver_91,2.016,2.212,1.54,4.004,1.428,1.372,1.316,1.008,3.248,1.232
Driver_92,1.68,2.66,1.54,8.232,2.296,1.484,1.428,1.568,18.76,1.82
Driver_93,1.26,1.904,1.344,2.072,3.612,1.4,1.344,3.808,2.324,3.08
Driver_94,1.988,2.296,3.416,1.344,2.324,5.488,5.292,1.372,1.316,2.464
Driver_95,1.764,2.632,1.568,15.624,2.016,1.456,1.4,1.372,27.44,1.624
Driver_96,3.416,6.104,6.188,2.072,3.052,6.524,5.32,1.428,1.96,2.576
Driver_97,2.1,3.612,3.052,1.876,5.488,3.78,3.332,1.876,1.848,4.816
Driver_98,1.176,1.596,1.4,1.316,3.388,1.568,1.512,4.452,1.372,5.18
Driver_99,1.288,1.792,1.596,1.4,4.144,1.82,1.736,3.36,1.428,7.952
Driver_100,2.1,3.416,1.82,29.932,2.212,1.68,1.596,1.372,11.452,1.736
Driver_101,1.372,2.1,1.652,1.68,7.14,1.848,1.736,3.948,1.764,12.208
