Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,8.96,1.288,2.828,1.288,3.612,3.108,8.204,1.4,4.144,1.484
Driver_2,1.932,1.428,1.232,1.036,3.976,5.348,1.848,0.924,1.568,1.344
Driver_3,3.08,0.924,11.228,1.064,1.512,1.512,3.36,1.484,2.408,1.064
Driver_4,1.68,1.288,2.184,2.324,1.484,1.204,1.736,5.74,3.304,1.764
Driver_5,1.708,3.276,1.288,1.82,3.696,2.044,1.68,1.288,2.212,3.276
Driver_6,1.652,2.856,1.456,3.024,2.38,1.568,1.652,1.82,2.828,5.46
Driver_7,10.556,1.036,3.248,1.036,2.24,2.576,10.948,1.204,2.52,1.148
Driver_8,1.876,1.652,1.232,1.12,4.76,4.088,1.792,0.952,1.652,1.512
Driver_9,1.624,1.54,1.092,1.008,3.248,3.36,1.568,0.868,1.428,1.372
Driver_10,4.144,1.148,6.58,1.372,2.044,1.792,4.536,1.848,5.348,1.372
Driver_11,4.144,1.372,3.332,1.596,2.744,2.1,4.284,1.848,13.272,1.708
Driver_12,1.4,2.968,1.316,4.48,1.876,1.316,1.4,1.904,2.268,8.428
Driver_13,2.044,1.596,2.212,2.492,2.016,1.484,2.1,2.94,5.88,2.296
Driver_14,2.94,1.12,6.132,1.456,1.764,1.54,3.136,2.212,4.872,1.4
Driver_15,0.924,3.948,0.868,2.24,1.232,0.98,0.924,1.148,1.204,3.304
Driver_16,4.2,1.512,2.044,1.372,7.28,3.948,3.92,1.316,3.472,1.708
Driver_17,1.288,9.576,1.064,2.072,2.128,1.456,1.26,1.232,1.68,5.04
Driver_18,1.204,2.212,1.232,18.06,1.456,1.092,1.232,2.268,1.932,4.228
Driver_19,1.176,2.464,1.148,10.976,1.428,1.092,1.176,1.96,1.792,5.012
Driver_20,1.008,3.248,0.952,3.64,1.288,1.008,1.008,1.428,1.372,4.592
Driver_21,1.96,1.484,1.232,1.064,4.452,5.152,1.876,0.952,1.624,1.4
Driver_22,1.4,6.104,1.148,2.044,2.408,1.568,1.372,1.26,1.82,4.76
Driver_23,1.792,2.8,1.512,2.52,2.856,1.736,1.792,1.68,3.024,4.396
Driver_24,1.148,6.244,1.036,2.968,1.652,1.204,1.148,1.372,1.596,10.64
Driver_25,1.82,1.176,2.716,1.876,1.456,1.204,1.876,4.396,3.388,1.54
Driver_26,1.82,1.568,1.204,1.064,4.2,4.172,1.764,0.924,1.596,1.456
Driver_27,1.876,1.96,1.26,1.232,5.656,3.36,1.792,1.036,1.792,1.764
Driver_28,2.1,1.064,4.032,1.512,1.456,1.26,2.184,2.884,3.36,1.344
Driver_29,1.988,2.604,1.456,1.764,4.872,2.324,1.96,1.344,2.632,2.856
Driver_30,2.856,1.54,1.568,1.204,11.424,7.056,2.688,1.092,2.24,1.568
Driver_31,1.232,12.796,1.036,1.988,2.016,1.4,1.232,1.176,1.568,4.508
Driver_32,1.624,2.884,1.176,1.484,3.808,2.212,1.568,1.12,1.82,2.408
Driver_33,1.148,1.036,1.484,1.988,1.036,0.896,1.176,8.512,1.708,1.344
Driver_34,1.26,1.12,1.652,2.156,1.148,0.98,1.288,28.532,1.988,1.484
Driver_35,3.36,1.428,1.68,1.176,7.616,9.128,3.108,1.092,2.296,1.456
