Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,1.316,1.932,3.108,1.456,1.288,1.26,1.596,1.316,2.1,4.06
Driver_2,0.896,1.064,1.764,7.84,1.876,2.128,1.484,0.952,2.436,1.316
Driver_3,1.764,2.492,10.556,2.016,2.632,2.408,4.424,1.904,6.776,3.164
Driver_4,1.12,1.54,1.736,1.064,0.952,0.952,1.148,1.092,1.344,2.436
Driver_5,2.884,2.464,2.1,1.26,2.24,1.904,4.704,3.724,2.016,1.736
Driver_6,1.82,2.296,4.48,1.988,3.64,3.052,8.876,2.016,5.768,2.352
Driver_7,0.924,1.092,1.82,8.988,1.96,2.212,1.512,0.952,2.576,1.344
Driver_8,2.072,4.172,4.256,1.316,1.456,1.372,2.184,2.044,2.24,30.184
Driver_9,1.12,1.204,1.68,2.408,7.476,10.136,2.38,1.232,2.436,1.204
Driver_10,1.26,1.764,4.2,2.016,1.624,1.624,1.876,1.288,3.164,3.108
Driver_11,1.288,1.652,4.312,3.164,2.436,2.492,2.464,1.344,7.868,2.268
Driver_12,2.66,6.02,2.352,1.036,1.204,1.148,1.792,2.436,1.596,4.34
Driver_13,1.848,1.988,2.604,1.736,4.508,3.332,10.836,2.128,3.22,1.764
Driver_14,2.408,5.488,4.872,1.344,1.624,1.512,2.716,2.436,2.464,8.12
Driver_15,1.148,1.596,1.736,1.036,0.952,0.924,1.148,1.12,1.316,2.464
Driver_16,1.764,3.024,5.964,1.484,1.568,1.484,2.24,1.792,2.688,11.704
Driver_17,1.204,1.68,3.136,1.708,1.4,1.372,1.596,1.232,2.38,3.052
Driver_18,2.744,2.324,2.016,1.232,2.268,1.932,4.48,3.472,1.96,1.68
Driver_19,1.064,1.12,1.54,2.52,5.124,7.168,2.072,1.148,2.24,1.148
Driver_20,1.512,2.296,2.072,1.036,1.064,1.008,1.372,1.456,1.456,3.864
Driver_21,2.072,4.032,2.688,1.12,1.232,1.148,1.736,1.96,1.708,6.916
Driver_22,1.568,2.072,5.992,2.408,3.22,2.968,4.284,1.708,15.428,2.492
Driver_23,0.98,1.092,1.652,4.228,3.78,5.404,1.876,1.064,2.548,1.204
Driver_24,1.092,1.204,1.904,4.032,5.292,8.932,2.24,1.176,3.136,1.316
Driver_25,1.008,1.064,1.456,2.408,4.284,5.572,1.904,1.092,2.072,1.092
Driver_26,0.896,1.12,1.876,2.296,1.344,1.4,1.288,0.924,1.988,1.568
Driver_27,1.288,1.848,2.016,1.092,1.036,1.008,1.288,1.232,1.456,3.164
Driver_28,1.064,1.4,2.548,2.072,1.428,1.456,1.484,1.064,2.38,2.128
Driver_29,0.924,1.092,1.876,4.06,1.624,1.764,1.428,0.952,2.352,1.428
Driver_30,4.144,5.516,2.912,1.232,1.82,1.624,3.92,4.984,2.184,2.744
Driver_31,1.288,1.596,3.444,3.724,3.612,3.78,2.94,1.372,11.816,1.904
Driver_32,1.344,1.96,1.988,1.064,1.036,1.008,1.288,1.288,1.428,3.304
Driver_33,3.528,4.396,3.052,1.316,2.016,1.764,4.872,4.312,2.38,2.632
Driver_34,0.924,1.064,1.792,8.008,1.904,2.128,1.484,0.952,2.492,1.316
Driver_35,1.372,1.54,2.576,2.688,11.088,8.232,3.948,1.512,4.76,1.624
Driver_36,1.064,1.148,1.68,2.856,5.824,9.772,2.184,1.148,2.492,1.204
Driver_37,2.688,7.728,3.584,1.232,1.484,1.372,2.38,2.632,2.1,6.972
Driver_38,1.736,1.848,2.408,1.764,5.18,3.668,7.56,1.988,3.08,1.652
Driver_39,2.8,4.312,4.284,1.456,2.128,1.876,5.264,3.164,2.912,3.22
Driver_40,1.484,1.568,2.128,1.932,9.072,5.264,4.48,1.652,2.968,1.484
Driver_41,1.736,2.38,8.764,2.1,2.772,2.548,4.536,1.848,7.924,2.94
Driver_42,0.812,0.98,1.512,2.156,1.204,1.288,1.12,0.84,1.68,1.316
Driver_43,1.456,2.184,1.932,1.008,1.008,0.98,1.316,1.4,1.372,3.388
Driver_44,0.84,0.98,1.568,3.248,1.428,1.54,1.232,0.868,1.904,1.26
Driver_45,1.008,1.316,2.128,1.652,1.204,1.232,1.316,1.008,1.876,2.044
Driver_46,1.26,1.764,1.82,1.008,0.98,0.952,1.204,1.204,1.344,2.828
Driver_47,1.204,1.512,3.444,3.808,2.408,2.52,2.24,1.26,6.132,2.016
Driver_48,2.296,4.592,6.356,1.456,1.764,1.624,3.052,2.38,2.856,6.72
Driver_49,1.4,2.128,2.604,1.232,1.176,1.148,1.484,1.372,1.764,4.62
Driver_50,2.52,6.16,2.772,1.12,1.288,1.204,1.932,2.38,1.764,5.964
Driver_51,1.008,1.092,1.512,2.772,4.312,6.104,1.904,1.092,2.212,1.12
Driver_52,2.94,8.12,2.492,1.064,1.26,1.176,1.932,2.688,1.68,4.424
Driver_53,1.568,2.184,10.052,2.268,2.548,2.408,3.444,1.68,8.932,3.024
Driver_54,1.316,1.792,5.068,2.408,1.932,1.932,2.184,1.344,4.62,2.8
Driver_55,1.456,1.68,2.912,2.52,7.672,5.768,4.816,1.624,5.516,1.764
Driver_56,1.876,1.96,2.436,1.68,4.312,3.22,9.1,2.156,2.94,1.708
Driver_57,2.016,3.304,13.86,1.68,2.044,1.904,3.584,2.128,3.892,4.76
Driver_58,4.032,5.6,2.996,1.26,1.848,1.624,3.948,4.788,2.212,2.8
Driver_59,1.26,1.512,3.08,4.004,4.004,4.312,2.884,1.344,8.624,1.792
Driver_60,5.152,9.156,2.66,1.148,1.596,1.428,2.968,5.544,1.932,2.912
Driver_61,1.764,3.052,5.432,1.456,1.512,1.456,2.184,1.764,2.576,13.58
Driver_62,5.096,4.704,2.464,1.176,1.764,1.568,3.556,7.0,1.96,2.352
Driver_63,1.204,1.708,2.268,1.232,1.12,1.092,1.344,1.204,1.652,3.136
Driver_64,1.988,3.78,2.744,1.12,1.232,1.176,1.736,1.904,1.736,7.504
Driver_65,0.952,1.232,2.072,2.044,1.316,1.372,1.344,0.98,2.072,1.764
Driver_66,1.26,1.764,1.736,0.98,0.952,0.924,1.176,1.204,1.316,2.688
Driver_67,0.868,1.064,1.708,2.436,1.316,1.4,1.232,0.896,1.876,1.4
Driver_68,1.764,2.604,28.476,1.932,2.296,2.128,3.584,1.848,5.544,3.752
Driver_69,1.4,1.932,6.972,2.38,2.156,2.1,2.548,1.456,6.076,2.996
Driver_70,1.764,3.108,4.088,1.344,1.4,1.344,1.96,1.764,2.212,20.496
Driver_71,0.924,1.176,1.932,2.072,1.288,1.344,1.288,0.952,1.96,1.652
Driver_72,1.26,1.512,3.052,4.004,4.088,4.396,2.884,1.344,8.372,1.792
Driver_73,1.26,1.512,2.772,3.612,5.46,5.964,3.136,1.372,6.552,1.68
Driver_74,5.488,11.9,2.184,1.036,1.316,1.204,2.128,4.536,1.596,2.856
Driver_75,0.98,1.204,2.184,3.164,1.624,1.708,1.512,1.008,2.604,1.652
Driver_76,3.136,4.564,3.64,1.372,2.072,1.82,5.04,3.612,2.632,2.968
Driver_77,2.016,3.36,13.076,1.652,2.044,1.876,3.584,2.128,3.836,4.844
Driver_78,1.372,2.044,3.696,1.512,1.372,1.344,1.736,1.372,2.352,4.592
Driver_79,1.092,1.288,2.352,7.756,3.192,3.78,2.156,1.148,4.424,1.54
Driver_80,184.016,4.144,1.764,0.952,1.316,1.204,2.1,12.208,1.428,1.96
Driver_81,1.372,1.568,2.632,2.688,10.08,7.728,4.004,1.512,4.956,1.652
Driver_82,0.924,1.148,1.932,2.324,1.344,1.428,1.316,0.952,2.072,1.624
Driver_83,1.12,1.204,1.708,2.52,7.56,11.508,2.38,1.232,2.52,1.232
Driver_84,0.924,1.176,1.96,2.072,1.288,1.344,1.288,0.952,1.988,1.708
Driver_85,1.344,1.4,1.904,1.988,10.976,6.384,3.444,1.512,2.688,1.372
Driver_86,2.352,5.516,3.136,1.176,1.344,1.26,2.016,2.268,1.904,8.26
Driver_87,1.148,1.204,1.708,2.52,8.064,12.488,2.408,1.232,2.548,1.232
Driver_88,1.652,2.66,6.384,1.568,1.596,1.54,2.212,1.68,2.884,7.672
Driver_89,1.176,1.652,2.324,1.288,1.148,1.12,1.344,1.176,1.736,2.996
Driver_90,2.072,3.724,9.24,1.54,1.848,1.708,3.108,2.156,3.248,6.412
Driver_91,0.952,1.204,2.1,2.744,1.484,1.568,1.428,0.98,2.352,1.652
Driver_92,1.96,2.352,3.668,1.82,3.64,2.94,21.448,2.24,4.2,2.184
Driver_93,4.872,2.94,1.876,1.092,1.68,1.484,2.996,7.812,1.652,1.764
Driver_94,10.052,6.888,2.044,1.008,1.372,1.26,2.268,7.56,1.568,2.408
Driver_95,1.148,1.456,3.22,3.892,2.268,2.38,2.1,1.204,5.152,1.988
Driver_96,2.072,4.172,4.004,1.288,1.428,1.344,2.128,2.044,2.184,28.196
