Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,1.288,7.252,1.484,1.036,3.108,1.428,1.008,1.316,3.416,7.336
Driver_2,1.008,4.228,0.98,0.98,27.468,1.092,0.98,0.98,2.464,2.996
Driver_3,1.904,1.68,1.148,2.912,1.512,2.296,2.884,1.568,2.716,1.904
Driver_4,2.38,1.176,1.148,8.848,1.036,2.744,8.904,1.82,1.624,1.288
Driver_5,2.632,1.12,5.432,1.092,0.924,2.268,1.092,4.06,1.344,1.288
Driver_6,2.66,2.212,1.68,1.904,1.652,3.528,1.904,2.268,4.564,2.8
Driver_7,1.092,5.908,1.232,0.924,3.864,1.176,0.924,1.092,2.52,4.116
Driver_8,1.12,2.184,1.68,0.812,1.652,1.176,0.812,1.204,1.736,2.24
Driver_9,3.668,1.232,4.48,1.26,1.008,3.108,1.26,7.056,1.54,1.428
Driver_10,1.456,6.72,1.344,1.288,3.528,1.68,1.288,1.4,9.8,9.436
Driver_11,1.316,2.52,1.036,1.568,2.52,1.512,1.568,1.204,3.5,2.576
Driver_12,2.016,2.8,1.484,1.736,2.044,2.464,1.736,1.792,8.54,3.668
Driver_13,1.4,2.94,1.12,1.54,2.716,1.624,1.54,1.288,4.62,3.108
Driver_14,2.688,1.204,7.392,1.12,0.98,2.408,1.12,4.144,1.456,1.4
Driver_15,1.036,1.876,1.568,0.756,1.484,1.092,0.756,1.12,1.512,1.904
Driver_16,2.324,1.148,7.896,1.036,0.924,2.072,1.036,3.36,1.344,1.288
Driver_17,2.66,2.352,1.876,1.68,1.68,3.388,1.68,2.408,4.788,3.136
Driver_18,2.128,2.464,1.456,1.904,1.876,2.66,1.904,1.848,5.964,3.08
Driver_19,2.968,1.26,1.26,5.012,1.092,3.584,5.012,2.128,1.792,1.4
Driver_20,0.924,2.268,0.84,1.008,3.696,1.008,1.008,0.868,1.904,1.932
Driver_21,1.596,2.1,2.884,0.98,1.484,1.652,0.98,1.764,2.1,2.464
Driver_22,1.288,4.928,1.148,1.288,4.34,1.484,1.288,1.232,5.124,4.564
Driver_23,1.204,2.044,1.904,0.84,1.54,1.232,0.84,1.288,1.736,2.184
Driver_24,3.696,1.148,3.696,1.26,0.924,2.94,1.26,7.224,1.4,1.316
Driver_25,1.96,2.548,1.372,1.876,1.988,2.408,1.876,1.708,6.216,3.136
Driver_26,3.276,1.316,5.684,1.232,1.036,2.94,1.232,5.348,1.624,1.54
Driver_27,2.884,1.904,3.22,1.344,1.372,3.192,1.344,3.248,2.576,2.38
Driver_28,1.12,5.404,1.064,1.092,10.22,1.232,1.092,1.064,3.248,3.836
Driver_29,7.392,1.4,2.772,1.596,1.12,6.72,1.596,9.576,1.932,1.652
Driver_30,2.996,1.54,1.4,3.164,1.316,4.06,3.164,2.212,2.464,1.792
Driver_31,1.596,1.736,1.064,2.464,1.624,1.848,2.436,1.344,2.604,1.876
Driver_32,1.764,4.34,1.596,1.372,2.464,2.044,1.372,1.68,13.692,7.84
Driver_33,1.848,1.092,1.008,43.652,1.008,2.044,36.316,1.484,1.456,1.204
Driver_34,2.688,1.82,3.752,1.26,1.344,2.856,1.26,3.164,2.352,2.268
Driver_35,1.148,13.076,1.204,1.008,6.3,1.26,1.008,1.12,3.164,5.46
Driver_36,1.4,3.864,1.792,1.008,2.212,1.54,1.008,1.456,2.996,4.76
Driver_37,5.32,1.484,3.052,1.512,1.176,5.376,1.512,6.916,2.044,1.792
Driver_38,2.744,1.652,1.4,2.912,1.372,3.696,2.912,2.128,2.744,1.932
Driver_39,1.204,5.068,1.456,0.952,2.828,1.316,0.952,1.232,2.716,4.704
Driver_40,1.12,2.436,1.596,0.84,1.792,1.176,0.84,1.176,1.82,2.464
Driver_41,1.204,2.268,0.952,1.456,2.492,1.344,1.456,1.092,2.744,2.212
Driver_42,3.024,1.82,1.568,2.352,1.456,4.256,2.352,2.38,3.248,2.212
Driver_43,1.764,4.368,1.652,1.316,2.436,2.044,1.316,1.708,9.436,8.288
Driver_44,1.512,2.044,2.772,0.952,1.456,1.596,0.952,1.708,2.016,2.38
Driver_45,3.388,1.372,5.236,1.26,1.092,3.136,1.26,5.348,1.736,1.624
Driver_46,6.72,1.26,1.624,2.632,1.064,8.68,2.632,3.556,1.792,1.456
Driver_47,1.26,13.02,1.372,1.036,3.864,1.372,1.036,1.26,3.64,8.484
Driver_48,2.52,1.428,1.232,4.368,1.232,3.164,4.312,1.932,2.128,1.596
Driver_49,4.256,1.764,2.212,1.764,1.344,6.076,1.764,3.696,2.8,2.184
Driver_50,1.12,10.836,1.176,0.98,6.244,1.232,0.98,1.12,3.024,5.068
Driver_51,1.792,3.08,1.344,1.68,2.296,2.128,1.652,1.596,9.8,3.864
Driver_52,1.372,2.688,2.016,0.952,1.792,1.456,0.952,1.456,2.268,3.052
Driver_53,1.288,3.584,1.092,1.344,3.64,1.456,1.344,1.176,4.256,3.444
Driver_54,1.456,3.5,1.204,1.512,2.912,1.708,1.484,1.344,6.384,3.864
Driver_55,1.092,4.788,1.036,1.092,10.612,1.204,1.092,1.036,3.024,3.5
Driver_56,1.092,1.96,1.652,0.784,1.512,1.12,0.784,1.176,1.568,1.988
Driver_57,4.508,1.456,1.596,2.716,1.204,7.364,2.744,2.94,2.24,1.708
Driver_58,1.596,3.668,1.288,1.54,2.716,1.876,1.512,1.484,11.088,4.536
Driver_59,1.316,2.436,1.988,0.896,1.708,1.372,0.896,1.4,2.044,2.688
Driver_60,1.484,1.68,3.36,0.896,1.26,1.512,0.896,1.708,1.68,1.904
