Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,1.288,3.024,1.4,2.744,1.036,1.316,4.312,1.54,1.456,1.904
Driver_2,1.344,1.176,1.764,1.232,7.308,2.912,1.008,2.212,1.372,1.092
Driver_3,1.624,1.204,2.212,1.344,5.068,3.332,1.092,2.212,1.288,1.064
Driver_4,3.416,1.484,8.568,2.184,2.464,4.116,1.568,2.576,1.288,1.176
Driver_5,2.184,1.4,3.584,1.708,3.976,5.376,1.316,2.828,1.372,1.176
Driver_6,6.328,1.148,2.716,2.016,1.176,1.512,1.68,1.316,0.896,0.896
Driver_7,1.288,1.4,1.736,1.316,11.2,3.444,1.092,2.968,1.82,1.344
Driver_8,2.24,1.344,3.584,1.68,3.584,4.508,1.288,2.548,1.288,1.12
Driver_9,2.772,2.072,2.856,10.668,1.316,1.904,5.236,1.932,1.288,1.372
Driver_10,1.036,4.424,1.26,1.652,1.344,1.568,1.596,2.156,4.76,28.42
Driver_11,2.268,1.372,3.752,1.736,3.696,5.096,1.344,2.744,1.344,1.148
Driver_12,6.832,1.568,5.068,3.696,1.456,2.128,2.464,1.904,1.148,1.148
Driver_13,1.4,2.268,1.988,1.82,3.556,4.396,1.456,8.96,2.968,2.044
Driver_14,1.372,6.356,1.568,3.108,1.232,1.624,3.612,2.016,1.904,2.66
Driver_15,3.836,1.736,3.36,5.264,1.316,1.876,3.416,1.82,1.176,1.232
Driver_16,1.82,2.94,2.016,7.28,1.232,1.708,13.552,1.932,1.456,1.708
Driver_17,1.624,3.024,1.764,4.704,1.148,1.54,11.2,1.764,1.456,1.764
Driver_18,1.54,4.452,2.1,2.632,2.072,3.108,2.072,5.992,3.08,2.772
Driver_19,2.044,1.344,3.192,1.624,4.256,4.816,1.26,2.66,1.344,1.148
Driver_20,1.176,3.108,1.54,1.708,2.072,2.408,1.484,3.92,7.224,3.416
Driver_21,1.596,6.888,2.072,3.696,1.624,2.352,2.968,3.332,2.352,2.688
Driver_22,1.568,3.472,1.736,4.396,1.176,1.568,7.728,1.848,1.54,1.904
Driver_23,1.512,5.096,2.044,2.744,1.96,2.856,2.184,5.096,3.024,2.884
Driver_24,1.428,3.584,1.96,2.184,2.296,3.22,1.764,7.056,3.668,2.8
Driver_25,1.932,1.792,3.276,2.016,4.648,63.364,1.512,5.6,1.792,1.484
