Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,1.316,2.24,1.148,1.456,1.4,1.092,1.456,1.568,0.952,1.036
Driver_2,3.22,2.24,1.54,4.452,2.212,1.428,5.292,5.152,1.512,1.596
Driver_3,0.98,2.296,5.068,1.54,3.024,5.936,1.148,1.064,1.82,2.632
Driver_4,1.652,3.808,1.54,2.184,2.1,1.428,1.988,2.072,1.204,1.4
Driver_5,1.12,1.232,2.324,1.708,1.988,2.296,1.288,1.12,7.028,3.836
Driver_6,1.064,1.232,2.464,1.596,1.96,2.464,1.204,1.064,5.152,3.836
Driver_7,29.316,1.372,1.204,2.94,1.512,1.12,8.54,7.7,1.4,1.316
Driver_8,1.428,1.932,4.34,2.968,4.676,3.724,1.764,1.512,5.74,11.032
Driver_9,3.64,2.016,1.652,7.56,2.38,1.512,7.728,4.956,1.736,1.792
Driver_10,1.092,4.536,3.164,1.736,3.36,3.08,1.288,1.232,1.54,2.072
Driver_11,0.924,2.716,2.296,1.316,2.128,2.352,1.036,1.008,1.26,1.624
Driver_12,1.064,4.536,2.884,1.652,3.052,2.8,1.26,1.204,1.456,1.932
Driver_13,1.512,1.344,2.128,2.464,2.212,1.988,1.764,1.456,7.448,3.444
Driver_14,1.204,2.576,19.012,2.184,6.664,10.332,1.456,1.316,2.632,4.872
Driver_15,1.036,1.596,5.376,1.652,2.744,6.216,1.204,1.064,3.192,5.236
Driver_16,1.092,2.8,7.812,1.848,4.564,7.644,1.316,1.204,2.072,3.22
Driver_17,1.344,2.128,6.86,2.66,6.076,5.32,1.652,1.428,4.144,11.704
Driver_18,3.528,1.596,1.624,6.496,2.184,1.512,5.544,3.388,2.128,1.96
Driver_19,1.428,5.46,3.612,2.772,8.092,3.136,1.792,1.624,1.96,2.688
Driver_20,1.064,5.46,2.408,1.624,2.716,2.324,1.26,1.204,1.344,1.736
Driver_21,1.344,2.828,7.532,2.716,15.176,5.46,1.68,1.484,2.828,4.984
Driver_22,1.484,2.268,1.176,1.624,1.484,1.12,1.68,1.848,0.98,1.092
Driver_23,7.56,1.316,1.26,3.136,1.568,1.176,6.496,4.452,1.54,1.428
Driver_24,1.4,2.072,1.12,1.484,1.372,1.064,1.54,1.708,0.952,1.036
Driver_25,2.016,3.192,1.568,2.772,2.24,1.456,2.604,2.744,1.316,1.484
Driver_26,1.624,1.652,2.744,3.304,3.136,2.492,1.988,1.624,7.196,4.956
Driver_27,1.064,1.652,5.992,1.736,2.968,6.636,1.232,1.12,3.5,6.384
Driver_28,1.176,1.68,5.18,2.044,3.332,4.9,1.4,1.232,5.404,16.352
Driver_29,4.676,1.344,1.344,3.612,1.708,1.26,5.376,3.528,1.764,1.596
Driver_30,48.972,1.288,1.148,2.576,1.428,1.064,6.132,6.58,1.316,1.26
Driver_31,2.212,3.304,1.792,3.836,2.744,1.652,3.052,2.94,1.54,1.736
Driver_32,1.036,1.876,9.436,1.708,3.304,15.652,1.232,1.092,2.688,4.676
Driver_33,1.176,1.988,11.452,2.1,4.424,9.296,1.4,1.26,3.612,9.604
Driver_34,1.428,1.932,4.564,2.912,4.788,3.864,1.736,1.484,5.6,12.04
Driver_35,2.912,1.708,1.82,8.568,2.492,1.68,4.34,2.912,2.436,2.24
Driver_36,1.148,1.988,14.308,1.988,4.228,12.74,1.372,1.204,3.276,7.448
Driver_37,1.12,4.956,1.624,1.512,1.988,1.568,1.288,1.288,1.12,1.344
Driver_38,1.792,1.708,2.548,4.116,3.192,2.296,2.268,1.82,4.928,4.004
Driver_39,1.568,3.668,3.808,3.612,15.26,3.22,2.044,1.792,2.352,3.304
Driver_40,1.036,1.512,4.34,1.652,2.576,4.648,1.204,1.064,3.752,5.712
Driver_41,1.848,2.128,1.204,1.876,1.54,1.12,2.072,2.436,1.036,1.148
Driver_42,1.316,9.072,1.82,1.904,2.436,1.736,1.568,1.568,1.26,1.512
Driver_43,1.008,4.116,2.352,1.484,2.464,2.324,1.176,1.148,1.316,1.68
Driver_44,23.016,1.344,1.204,2.912,1.512,1.12,7.84,6.636,1.4,1.344
Driver_45,1.176,2.24,37.072,2.1,5.208,14.56,1.4,1.26,2.996,6.3
Driver_46,0.924,2.912,2.044,1.288,2.016,2.072,1.064,1.008,1.204,1.512
Driver_47,1.092,1.568,4.592,1.82,2.828,4.676,1.288,1.148,4.592,7.952
Driver_48,1.54,3.948,1.512,2.044,2.044,1.428,1.876,1.932,1.176,1.372
Driver_49,2.884,2.436,1.652,4.872,2.436,1.54,4.592,4.228,1.568,1.68
Driver_50,0.924,2.044,3.836,1.372,2.492,4.452,1.064,0.98,1.652,2.296
Driver_51,1.036,2.1,9.184,1.68,3.416,15.764,1.204,1.092,2.268,3.668
Driver_52,5.712,1.54,1.428,4.62,1.876,1.316,11.2,5.04,1.736,1.624
Driver_53,1.12,5.852,1.82,1.568,2.184,1.764,1.288,1.288,1.176,1.428
Driver_54,1.652,5.936,1.876,2.576,2.772,1.736,2.072,2.044,1.4,1.652
Driver_55,1.764,2.492,3.388,5.068,6.888,2.884,2.324,1.932,3.108,4.032
Driver_56,1.092,5.236,1.764,1.512,2.1,1.708,1.26,1.232,1.148,1.4
Driver_57,1.96,2.156,2.772,6.72,4.48,2.436,2.66,2.1,3.248,3.584
Driver_58,1.008,2.072,7.168,1.596,3.164,10.472,1.176,1.064,2.128,3.276
Driver_59,1.12,2.884,7.392,1.876,4.62,7.168,1.316,1.204,2.044,3.164
Driver_60,1.316,3.752,1.428,1.652,1.82,1.372,1.512,1.568,1.092,1.26
Driver_61,0.924,2.464,3.08,1.372,2.436,3.276,1.064,1.008,1.456,1.96
Driver_62,2.24,1.372,1.708,3.528,2.044,1.568,2.688,2.044,2.94,2.268
Driver_63,1.848,1.596,2.296,3.892,2.8,2.1,2.296,1.82,4.76,3.528
Driver_64,1.26,6.664,3.416,2.184,4.956,3.136,1.54,1.428,1.708,2.352
Driver_65,1.148,3.696,1.428,1.484,1.736,1.372,1.316,1.372,1.036,1.204
Driver_66,1.148,6.636,2.94,1.876,3.584,2.772,1.4,1.316,1.54,2.044
Driver_67,1.512,1.848,3.64,3.164,4.144,3.192,1.876,1.568,6.412,7.924
Driver_68,1.036,1.568,5.04,1.652,2.716,5.628,1.204,1.064,3.416,5.6
Driver_69,1.232,7.812,1.792,1.736,2.296,1.708,1.456,1.428,1.204,1.484
Driver_70,1.596,3.668,3.64,3.752,12.88,3.108,2.072,1.82,2.324,3.22
Driver_71,1.4,3.08,6.02,2.912,32.536,4.648,1.764,1.54,2.66,4.34
Driver_72,1.512,3.612,1.456,1.932,1.932,1.372,1.792,1.876,1.148,1.316
Driver_73,1.064,5.516,2.352,1.596,2.66,2.268,1.26,1.204,1.344,1.708
Driver_74,1.848,1.428,1.988,3.332,2.324,1.848,2.24,1.792,4.312,2.94
Driver_75,2.632,2.66,1.792,5.628,2.772,1.652,4.116,3.612,1.68,1.82
Driver_76,3.976,1.876,1.624,7.812,2.296,1.484,9.38,4.984,1.792,1.792
Driver_77,3.444,1.428,1.512,4.34,1.932,1.4,4.424,2.968,2.1,1.848
Driver_78,1.568,5.124,3.164,3.276,7.476,2.772,2.016,1.82,1.96,2.604
Driver_79,1.316,2.688,9.044,2.604,11.144,6.216,1.624,1.428,2.912,5.404
Driver_80,2.772,2.436,1.54,3.78,2.212,1.428,4.06,4.228,1.428,1.54
Driver_81,1.12,1.932,12.348,1.904,3.836,13.888,1.316,1.176,3.164,6.58
Driver_82,2.968,1.96,1.288,2.66,1.736,1.204,3.668,4.872,1.232,1.288
Driver_83,1.148,1.904,10.276,1.988,3.92,9.772,1.344,1.204,3.528,8.484
Driver_84,1.568,4.256,3.416,3.528,9.94,2.968,2.044,1.82,2.128,2.884
Driver_85,1.148,3.164,7.028,1.988,5.432,6.3,1.372,1.26,2.072,3.192
Driver_86,4.34,1.316,1.316,3.304,1.652,1.26,4.62,3.22,1.764,1.568
Driver_87,0.924,2.884,2.436,1.372,2.268,2.492,1.064,1.036,1.316,1.68
Driver_88,1.064,1.624,5.488,1.764,2.94,5.852,1.26,1.12,3.78,6.972
Driver_89,1.036,2.716,5.236,1.652,3.5,5.572,1.204,1.12,1.82,2.66
Driver_90,1.092,2.52,9.968,1.82,4.256,11.004,1.288,1.176,2.184,3.5
Driver_91,1.176,3.108,1.316,1.456,1.624,1.26,1.344,1.4,1.008,1.148
Driver_92,2.38,2.828,1.596,3.444,2.352,1.484,3.276,3.36,1.428,1.568
Driver_93,1.148,2.156,31.948,2.044,4.844,16.492,1.4,1.232,3.024,6.384
Driver_94,1.568,4.816,1.652,2.24,2.324,1.54,1.932,1.988,1.26,1.484
Driver_95,7.112,1.54,1.372,4.228,1.792,1.288,18.396,6.356,1.624,1.54
Driver_96,1.176,4.424,4.284,1.988,4.956,3.948,1.428,1.316,1.792,2.576
Driver_97,1.82,4.732,1.904,3.052,2.968,1.764,2.38,2.296,1.484,1.736
Driver_98,1.064,4.592,2.576,1.596,2.744,2.52,1.232,1.176,1.372,1.792
Driver_99,1.512,4.62,3.584,3.164,10.108,3.108,1.932,1.736,2.072,2.856
Driver_100,3.276,2.212,1.652,6.328,2.436,1.54,6.02,4.732,1.68,1.764
Driver_101,1.96,3.444,2.492,5.46,4.928,2.24,2.744,2.352,2.044,2.436
Driver_102,0.98,3.864,1.988,1.4,2.156,1.988,1.148,1.12,1.204,1.512
Driver_103,7.56,1.484,1.176,2.688,1.512,1.12,6.468,22.792,1.26,1.26
Driver_104,1.064,2.38,8.96,1.736,3.864,11.088,1.26,1.148,2.128,3.388
Driver_105,1.288,8.316,3.136,2.184,4.648,2.856,1.568,1.456,1.652,2.24
Driver_106,1.092,2.1,20.076,1.848,4.06,79.38,1.288,1.176,2.688,4.984
Driver_107,1.344,2.688,1.26,1.568,1.568,1.204,1.54,1.652,1.008,1.12
Driver_108,1.96,1.512,2.044,3.92,2.492,1.904,2.464,1.904,4.004,2.968
Driver_109,7.336,1.624,1.316,3.752,1.764,1.232,20.048,15.12,1.456,1.456
Driver_110,0.98,3.864,1.904,1.4,2.072,1.876,1.148,1.12,1.176,1.456
Driver_111,6.888,1.596,1.4,4.368,1.848,1.288,60.648,7.784,1.596,1.54
Driver_112,0.98,2.436,4.956,1.568,3.136,5.6,1.148,1.064,1.792,2.604
Driver_113,1.512,3.696,4.116,3.36,20.132,3.444,1.96,1.708,2.352,3.388
Driver_114,2.212,2.688,1.456,2.744,2.044,1.372,2.856,3.136,1.288,1.4
Driver_115,1.792,2.156,1.204,1.82,1.54,1.12,2.016,2.324,1.036,1.148
Driver_116,1.092,2.52,11.34,1.848,4.48,12.012,1.316,1.176,2.24,3.668
Driver_117,1.288,2.52,11.004,2.492,8.624,7.056,1.568,1.4,3.052,6.16
Driver_118,1.316,3.864,5.376,2.52,11.424,4.424,1.624,1.484,2.184,3.332
Driver_119,4.144,1.316,1.372,3.472,1.68,1.288,4.648,3.192,1.82,1.624
Driver_120,1.652,5.628,2.632,3.388,5.152,2.352,2.156,1.96,1.82,2.268
Driver_121,1.204,5.32,1.624,1.652,2.016,1.54,1.428,1.428,1.148,1.344
Driver_122,2.912,2.324,1.484,3.612,2.1,1.4,4.228,4.62,1.4,1.512
Driver_123,1.232,2.324,1.148,1.4,1.428,1.12,1.4,1.484,0.924,1.036
Driver_124,2.1,3.472,2.156,5.096,3.724,1.96,2.996,2.632,1.792,2.1
Driver_125,3.78,1.512,1.54,5.124,1.988,1.428,5.432,3.36,2.044,1.848
Driver_126,0.84,1.96,2.38,1.204,1.904,2.548,0.952,0.896,1.288,1.652
Driver_127,1.092,2.884,6.804,1.82,4.396,6.72,1.288,1.204,1.988,3.052
Driver_128,1.176,2.856,10.976,2.1,6.44,8.316,1.428,1.288,2.352,3.92
Driver_129,17.332,1.428,1.232,3.164,1.596,1.176,11.396,9.436,1.428,1.372
Driver_130,1.932,4.032,2.296,4.368,4.144,2.072,2.632,2.38,1.792,2.156
Driver_131,3.08,2.268,1.764,8.036,2.632,1.624,5.516,4.144,1.764,1.876
Driver_132,2.184,2.856,2.324,8.288,4.172,2.072,3.22,2.632,2.1,2.408
Driver_133,1.932,1.316,1.736,2.968,1.988,1.624,2.24,1.792,3.472,2.436
Driver_134,1.54,7.168,2.772,2.94,5.208,2.492,1.96,1.792,1.764,2.268
Driver_135,1.4,1.288,2.1,2.184,2.1,2.016,1.596,1.344,8.596,3.472
Driver_136,8.372,1.288,1.232,2.94,1.512,1.148,6.104,4.48,1.512,1.4
Driver_137,1.988,3.808,1.792,3.276,2.744,1.652,2.66,2.604,1.484,1.68
Driver_138,1.204,8.232,2.912,1.988,3.836,2.716,1.456,1.372,1.568,2.072
Driver_139,1.316,1.876,5.488,2.492,4.396,4.676,1.596,1.372,5.488,38.836
Driver_140,3.052,2.156,1.4,3.276,1.96,1.316,4.256,5.068,1.344,1.428
Driver_141,1.484,5.992,3.248,2.884,6.972,2.856,1.876,1.708,1.904,2.548
Driver_142,1.456,8.12,2.884,2.716,5.292,2.604,1.848,1.708,1.736,2.268
Driver_143,2.128,2.24,1.288,2.212,1.708,1.204,2.52,2.968,1.148,1.232
Driver_144,1.344,3.192,1.344,1.652,1.708,1.288,1.54,1.624,1.036,1.204
Driver_145,3.864,2.016,1.484,4.452,2.072,1.372,7.056,6.776,1.512,1.568
